,url,title,company,description
0,https://coursera.org/degrees/master-of-computer-science-asu,Degrees & Certificates,Empty(),Degrees & Certificates
1,https://coursera.org/degrees/master-of-computer-science-illinois,Degrees & Certificates,Empty(),Degrees & Certificates
2,https://coursera.org/degrees/masters-in-computer-data-science,Degrees & Certificates,Empty(),Degrees & Certificates
3,https://coursera.org/degrees/bachelor-of-science-computer-science-london,Degrees & Certificates,Empty(),Degrees & Certificates
4,https://coursera.org/degrees/master-of-applied-data-science-umich,Degrees & Certificates,Empty(),Degrees & Certificates
5,https://coursera.org/degrees/mcit-penn,Degrees & Certificates,Empty(),Degrees & Certificates
6,https://coursera.org/specializations/ibm-data-science-professional-certificate,IBM Data Science Professional Certificate,Empty(),"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate."
7,https://coursera.org/specializations/jhu-data-science,Data Science Specialization,Empty(),"Ask the right questions, manipulate data sets, and create visualizations to communicate results.

This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material."
8,https://coursera.org/specializations/data-science-python,Applied Data Science with Python Specialization,Empty(),"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate."
9,https://coursera.org/learn/python-data-analysis,Introduction to Data Science in Python,Empty(),"About this CourseFilled StarFilled StarFilled StarFilled StarHalf Faded Star4.58,826 ratingsâ¢2,189 reviewsThis course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. 

This course should be taken before any of the other Applied Data Science with Python courses: Applied Plotting, Charting & Data Representation in Python, Applied Machine Learning in Python, Applied Text Mining in Python, Applied Social Network Analysis in Python.SpecializationCourse 1 of 5 in theApplied Data Science with Python Specialization100% online100% onlineStart instantly and learn at your own schedule.Flexible deadlinesFlexible deadlinesReset deadlines in accordance to your schedule.Intermediate LevelIntermediate LevelHours to completeApprox. 19 hours to completeSuggested: 7 hours/week... MoreAvailable languagesEnglishSubtitles: English, Chinese (Traditional), Portuguese (Brazilian), Vietnamese, Korean, Hebrew... MoreWhat you will learnCheckDescribe common Python functionality and features used for data scienceCheckExplain distributions, sampling, and t-testsCheckQuery DataFrame structures for cleaning and processingCheckUnderstand techniques such as lambdas and manipulating csv filesSkills you will gainPython ProgrammingNumpyPandasData CleansingSpecializationCourse 1 of 5 in theApplied Data Science with Python Specialization100% online100% onlineStart instantly and learn at your own schedule.Flexible deadlinesFlexible deadlinesReset deadlines in accordance to your schedule.Intermediate LevelIntermediate LevelHours to completeApprox. 19 hours to completeSuggested: 7 hours/week... MoreAvailable languagesEnglishSubtitles: English, Chinese (Traditional), Portuguese (Brazilian), Vietnamese, Korean, Hebrew... More"
